ticker,shares_outstanding,currency,sector,company,market_cap_info,pe_forward,dividend_yield,beta
MG,267519846.0,USD,Consumer Discretionary,Magna International Inc.,26393507840.0,9.129923,2.84,1.855
MFC,1665674480.0,CAD,Financials,Manulife Financial Corporation,104904179712.0,12.7973795,2.97,0.781
MFI,124430069.0,CAD,Consumer Staples,Maple Leaf Foods Inc.,3608472064.0,15.875623,2.97,0.886
MDA,161919141.0,CAD,Industrials,MDA Space Ltd.,7788310016.0,26.46274,,
MX,77364263.0,USD,Materials,Methanex Corporation,5826302464.0,9.673426,1.35,0.869
MAU,403252111.0,USD,Materials,Montage Gold Corp.,6899643392.0,7.1005573,,2.183
MRU,210933000.0,CAD,Consumer Staples,Metro Inc.,19570362368.0,16.756607,1.75,0.362
MTL,96241057.0,CAD,Industrials,Mullen Group Ltd.,2625456128.0,18.04985,3.05,0.929
NA,385142589.0,CAD,Financials,National Bank of Canada,87080738816.0,15.923803,2.33,1.189
NXE,661909421.0,CAD,Energy,NexGen Energy Ltd.,9068158976.0,-48.92857,,1.648
NFI,,USD,Consumer Discretionary,NFI Group Inc.,,12.788884,,0.558
NGEX,216858780.0,CAD,Materials,NGEx Minerals Ltd.,5855186944.0,-51.376324,,1.874
NPI,,CAD,Energy,Northland Power Inc.,,14.6226425,3.3,0.616
NWC,,CAD,Consumer Staples,North West Company Inc.,,13.335784,3.23,0.509
NG,438780614.0,USD,Materials,NovaGold Resources Inc.,3896371968.0,-26.547085,,2.158
NTR,480023548.0,USD,Materials,Nutrien Ltd.,45223018496.0,13.0004635,3.23,1.061
ONEX,76186484.0,USD,Financials,Onex Corporation,8650124288.0,5.6695,0.37,0.963
OGC,222447523.0,USD,Materials,OceanaGold Corporation,7845724160.0,6.8637924,0.99,1.509
OTEX,242662360.0,USD,Information Technology,Open Text Corporation,9017333760.0,5.9354715,4.38,1.032
OLA,375312739.0,USD,Materials,Orla Mining Ltd.,5051709440.0,5.441653,0.67,1.172
OR,187495864.0,USD,Materials,Osisko Gold Royalties Ltd.,8118571008.0,21.888033,0.77,1.323
PAAS,421350000.0,USD,Materials,Pan American Silver Corp.,26654601216.0,9.88064,1.42,1.549
POU,145935878.0,CAD,Energy,Paramount Resources Ltd.,4210249984.0,15.636856,2.03,0.703
PXT,96180254.0,USD,Energy,Parex Resources Inc.,2259274240.0,3.6528077,6.34,0.492
PPTA,125094503.0,USD,Materials,Perpetua Resources Corp.,3640250112.0,-207.64597,,0.689
PPL,581555000.0,CAD,Energy,Pembina Pipeline Corporation,39569002496.0,21.677696,4.29,0.71
PET,68111950.0,CAD,Consumer Discretionary,Pet Valu Holdings Ltd.,1317285120.0,11.042721,2.65,0.841
PEY,,CAD,Energy,Peyto Exploration & Development Corp.,,11.680555,5.6,0.311
PSK,232443000.0,CAD,Energy,PrairieSky Royalty Ltd.,7923982336.0,31.179972,3.06,0.86
POW,,CAD,Financials,Power Corporation of Canada,,13.774588,2.79,0.934
PBH,,CAD,Consumer Staples,Premium Brands Holdings Corporation,,12.59984,3.67,0.894
PMZ.UN,118070954.0,CAD,Real Estate,Primaris Real Estate Investment Trust,3123699712.0,12.948571,3.81,1.062
RBA,186300000.0,USD,Industrials,"RB Global, Inc.",29073977344.0,23.09454,1.21,0.552
QBR.B,150608193.0,CAD,Communication Services,Quebecor Inc.,14361607168.0,13.430442,2.47,0.63
RCH,,CAD,Consumer Discretionary,Richelieu Hardware Ltd.,,18.562328,1.77,0.901
QSR,346983973.0,USD,Consumer Discretionary,Restaurant Brands International Inc.,47417966592.0,16.880072,3.56,0.53
REI.UN,290616179.0,CAD,Real Estate,RioCan Real Estate Investment Trust,6354306048.0,13.450618,5.22,1.002
RCI.B,429076558.0,CAD,Communication Services,Rogers Communications Inc.,25730930688.0,9.802207,4.21,0.792
SEA,107622939.0,CAD,Materials,Seabridge Gold Inc.,4125187328.0,-119.78126,,1.846
RUS,54911755.0,CAD,Industrials,Russel Metals Inc.,3826251264.0,17.60485,2.62,1.101
RY,1389662335.0,CAD,Financials,Royal Bank of Canada,407824203776.0,16.650251,2.4,0.932
SAP,400448655.0,CAD,Consumer Staples,Saputo Inc.,15777677312.0,16.750134,2.03,0.126
SIA,106131563.0,CAD,Healthcare,Sienna Senior Living Inc.,2337017088.0,33.876926,4.2,1.039
SHOP,1219581025.0,USD,Information Technology,Shopify Inc.,225026293760.0,53.136047,,2.59
SES,218034987.0,CAD,Industrials,Secure Energy Services Inc.,5372382208.0,22.885166,1.74,0.728
SVM,221202535.0,USD,Materials,Silvercorp Metals Inc.,3176468224.0,6.1480207,0.27,1.977
SOBO,208584627.0,USD,Energy,South Bow Corporation,10625300480.0,18.739462,5.46,
SKE,124084385.0,CAD,Materials,Skeena Resources Limited,5010527744.0,8.817923,,2.242
SRU.UN,144708787.0,CAD,Real Estate,SmartCentres Real Estate Investment Trust,5714693120.0,14.555,6.26,0.85
SII,25782581.0,USD,Financials,Sprott Inc.,3798547456.0,23.92789,1.54,1.345
STN,114066995.0,CAD,Industrials,Stantec Inc.,11646239744.0,14.867214,0.95,0.722
SCR,214235608.0,CAD,Energy,Strathcona Resources Ltd.,8800799744.0,10.66091,2.82,-0.209
SSRM,207491071.0,USD,Materials,SSR Mining Inc.,7770541056.0,5.7555075,,0.877
SJ,54556381.0,CAD,Materials,Stella-Jones Inc.,4319774208.0,12.648825,1.76,0.303
SLF,554299767.0,CAD,Financials,Sun Life Financial Inc.,64149114880.0,13.546399,3.16,0.825
SPB,214568858.0,USD,Utilities,Superior Plus Corp.,1731570688.0,12.428194,2.26,0.323
SU,1180745189.0,CAD,Energy,Suncor Energy Inc.,107199856640.0,11.622415,2.55,0.569
TVE,475036000.0,CAD,Energy,Tamarack Valley Energy Ltd.,6256224256.0,14.797753,1.49,0.99
TRP,1041766896.0,CAD,Energy,TC Energy Corporation,95800885248.0,23.451166,3.72,0.978
TKO,,CAD,Materials,Taseko Mines Limited,,9.330509,,2.006
TECK.B,483000468.0,CAD,Materials,Teck Resources Limited,44654411776.0,18.233757,0.59,1.587
T,1575000000.0,CAD,Communication Services,Telus Corporation,21089251328.0,14.951706,10.78,0.733
TVK,21685695.0,CAD,Energy,TerraVest Industries Inc.,2524431872.0,22.751125,0.7,0.591
TFII,82193031.0,USD,Industrials,TFI International Inc.,16377783296.0,18.000875,1.4,1.487
TRI,436538837.0,USD,Industrials,Thomson Reuters Corporation,66842824704.0,21.710293,2.66,0.171
X,275392607.0,CAD,Financials,TMX Group Limited,14463620096.0,19.36814,1.87,0.043
TPZ,154851000.0,CAD,Energy,Topaz Energy Corp.,4835996672.0,25.185484,4.42,
TXG,93346413.0,USD,Materials,Torex Gold Resources Inc.,5272205312.0,5.1545405,1.19,1.454
TIH,81562763.0,CAD,Industrials,Toromont Industries Ltd.,18101223424.0,23.802347,1.06,0.972
TD,1652051000.0,CAD,Financials,Toronto-Dominion Bank,277379350528.0,15.623312,2.67,0.873
TOU,388601707.0,CAD,Energy,Tourmaline Oil Corp.,23654184960.0,12.089375,3.23,0.245
TA,316300000.0,CAD,Utilities,TransAlta Corporation,5690236928.0,32.22109,1.59,0.476
TCL.A,74112647.0,CAD,Consumer Discretionary,Transcontinental Inc.,452823232.0,4.7436996,13.58,1.265
TFPM,206603912.0,USD,Materials,Triple Flag Precious Metals Corp.,8683561984.0,21.779902,0.8,0.304
TSU,47237592.0,CAD,Financials,Trisura Group Ltd.,1997205376.0,11.901813,,0.574
VET,152800000.0,CAD,Energy,Vermilion Energy Inc.,2369927936.0,14.361111,3.24,0.487
VZLA,351018130.0,USD,Materials,Vizsla Silver Corp.,1677866752.0,4.2555423,,1.592
VITL.UN,250006220.0,CAD,Real Estate,Vital Infrastructure Property Trust.,1380034304.0,,6.44,1.279
WCN,252049532.0,USD,Industrials,Waste Connections Inc.,58757787648.0,26.819647,0.84,0.478
WDO,148294000.0,CAD,Materials,Wesdome Gold Mines Ltd.,4193754368.0,7.349311,0.12,0.88
WFG,76022344.0,USD,Materials,West Fraser Timber Co. Ltd.,7728587264.0,26.881058,2.0,1.12
WPM,454125089.0,USD,Materials,Wheaton Precious Metals Corp.,73758998528.0,21.792578,0.71,1.191
WCP,1215900000.0,CAD,Energy,Whitecap Resources Inc.,19782694912.0,13.336065,4.41,0.69
WPK,,USD,Consumer Discretionary,Winpak Ltd.,,12.294957,0.45,0.141
WSP,134816636.0,CAD,Industrials,WSP Global Inc.,24362715136.0,13.7509165,0.88,0.465
